"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 15 12:01:00 MSK 2019","Thu Aug 15 12:01:00 MSK 2019","176","","","","","","Существующие : Справочник.НастройкиПломбировкиДокументов.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:03:13 MSK 2019","Thu Aug 15 12:03:14 MSK 2019","375","","","","","","Списки : Документ.ПриходнаяНакладная.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:00:37 MSK 2019","Thu Aug 15 12:00:37 MSK 2019","203","","","","","","Существующие : Справочник.МаркетинговыеАкции.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:03:08 MSK 2019","Thu Aug 15 12:03:08 MSK 2019","359","","","","","","Новые : Документ.ПланПроизводства.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуНовогоДокумента"
"passed","Thu Aug 15 12:03:03 MSK 2019","Thu Aug 15 12:03:03 MSK 2019","281","","","","","","Существующие : Документ.ПереносВзаиморасчетовНаДоходыИРасходы.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаДокумента"
"passed","Thu Aug 15 12:01:36 MSK 2019","Thu Aug 15 12:01:36 MSK 2019","125","","","","","","Существующие : Справочник.НормыЕстественнойУбылиПоРеализации.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:03:26 MSK 2019","Thu Aug 15 12:03:27 MSK 2019","347","","","","","","Существующие : Документ.Счет.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаДокумента"
"passed","Thu Aug 15 12:00:23 MSK 2019","Thu Aug 15 12:00:23 MSK 2019","125","","","","","","Существующие : Справочник.ЗначенияСвойствОбъектов.Форма.ФормаГруппы","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:07:12 MSK 2019","Thu Aug 15 12:07:12 MSK 2019","4","","","","","","РегистрСведений.Меркурий_СопоставлениеНоменклатуры: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:06:36 MSK 2019","Thu Aug 15 12:06:36 MSK 2019","6","","","","","","Справочник.ВерсииФайлов: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:04:37 MSK 2019","Thu Aug 15 12:04:38 MSK 2019","398","","","","","","Отчет.ПроверкаЦелостностиТома.Форма","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:00:46 MSK 2019","Thu Aug 15 12:00:46 MSK 2019","204","","","","","","Новые : Справочник.Меркурий_Продукция.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu Aug 15 12:04:23 MSK 2019","Thu Aug 15 12:04:23 MSK 2019","526","","","","","","Отчет.ЗаказыПокупателей.Форма","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:08:44 MSK 2019","Thu Aug 15 12:08:44 MSK 2019","3","","","","","","РегистрСведений.ЗапросыРазрешенийНаИспользованиеВнешнихРесурсов: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:02:23 MSK 2019","Thu Aug 15 12:02:23 MSK 2019","307","","","","","","Списки : Документ.ВнутренняяПродажа.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
